os_codigo,no_jgc,canal,tipo,contato_hash,ts,grupo
OS-2026-0457,n4,email,sent,bf4c29c3017b9158c66b91c928782b2b54b91df0cfb3eb548b3dab2c44975560,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,1c33ac3d8e84cb8a3b4946a618bd3792e1232ea3de5369f426eb76058d504be7,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,1c042b31614e3c60b252fe84f7d2fbc0e4867466889961467df956ea01462ccf,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,c221cef3121ad87886998899511ff75ff71c62e11f2b7011bc2204bd9ab70a92,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,4895f49cb194174957f72fb0f5e82e7b89cdb7b67006d6e6a050680181617495,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,eaee7001f7ae0084c11037a42087fb6809eb5614e1f0d5101b8f01d19f5eec91,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,7aab39d4ed9ab8aec9206f0bd93dc533036b9da6aba7ec6a4717d95fd50efb82,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,3fb2c78ff08a5ce2c481e2fa10a33d1bdbd9508cfadcc978697006797f3d1e5c,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,f59a0808c9695b3e3f0a4e32f9d51f467238978bd25b14bb5163a6eab84e1dd6,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,fdf344dd2417b920154173bcab1f72df7b739561e4cc300ad4c8608d4aaf5a4a,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,19ab3bf69270850ebe653c76ec5a3b5921a79c99cd89868d143d464463ac2866,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,32d3f0f605978aad76946f5e58f76885599b233c83767ac94a7b525b81918f0c,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,26b5a69847d93fea911e61e284d9804b53388105677fac0bcfba657a286cac21,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,12c2569c94d4c8379964bd37010216800935425e80c6ab6e3d5544a21efcebf8,2026-08-03T12:00:00+00:00,
OS-2026-0457,n4,email,sent,1a42bf25406a1c0a86e093f63b8d8a0c426ff13807cef0daf65275065d4ecb1f,2026-08-03T12:00:00+00:00,
